[[  8.11710075e-20   2.67956679e-04   9.29986800e-05]]
[[  9.80343736e-20   1.78234101e-04   1.20182993e-04]]
[[  3.29364368e-20   1.60635526e-04  -4.07605068e-05]]
[[  3.71849627e-20   1.76706171e-04   4.15740986e-21]]
[[  3.29379285e-20   1.60635526e-04   4.07605068e-05]]
[[  1.94508492e-20   1.12518382e-04   2.51312021e-21]]
[[  4.07605068e-05  -1.60635526e-04   1.62853129e-21]]
[[  7.88553117e-05  -2.29812325e-04  -7.88553117e-05]]
[[  9.29986800e-05  -2.67956679e-04   3.31864916e-21]]
[[  7.88553117e-05  -2.29812325e-04   7.88553117e-05]]
[[ 0.00010359 -0.00020382 -0.00020382]]
[[ 0.00019508 -0.00036625 -0.00019508]]
[[  2.79266141e-04  -4.94655565e-04   6.73656012e-21]]
[[ 0.00019508 -0.00036625  0.00019508]]
[[ 0.00010359 -0.00020382  0.00020382]]
[[  7.88553117e-05  -7.88553117e-05  -2.29812325e-04]]
[[ 0.00019508 -0.00019508 -0.00036625]]
[[ 0.00046806 -0.00046806 -0.00046806]]
[[  8.01941524e-04  -8.01941524e-04  -5.38660113e-20]]
[[ 0.00046806 -0.00046806  0.00046806]]
[[ 0.00019508 -0.00019508  0.00036625]]
[[  7.88553117e-05  -7.88553117e-05   2.29812325e-04]]
[[  4.07605068e-05   1.63144371e-21  -1.60635526e-04]]
[[  9.29986800e-05   8.40885782e-21  -2.67956679e-04]]
[[  2.79266141e-04   2.03775978e-20  -4.94655565e-04]]
[[  8.01941524e-04  -5.36557961e-20  -8.01941524e-04]]
[[  1.06468666e-03  -8.04681447e-20  -8.01505073e-20]]
[[  8.01941524e-04   1.40025160e-20   8.01941524e-04]]
[[  2.79266141e-04   2.27283522e-19   4.94655565e-04]]
[[  9.29986800e-05   7.70353436e-20   2.67956679e-04]]
[[  4.07605068e-05   3.25321943e-20   1.60635526e-04]]
[[  7.88553117e-05   7.88553117e-05  -2.29812325e-04]]
[[ 0.00019508  0.00019508 -0.00036625]]
[[ 0.00046806  0.00046806 -0.00046806]]
[[  8.01941524e-04   8.01941524e-04   1.40289858e-20]]
[[ 0.00046806  0.00046806  0.00046806]]
[[ 0.00019508  0.00019508  0.00036625]]
[[  7.88553117e-05   7.88553117e-05   2.29812325e-04]]
