

'=============================================================

 C60/C60_cation_neut_inner6_outer0/ReorgPlanes_shareq/C60_cation_neut_inner6_outer0_reorgs_shareq_planes_CENTRE_a.dat 

c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	2.13250979267	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	2.11958172261	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	2.08812662703	1.70345962586	1.82667193389	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	1.81476771252	1.71532354861	2.07518119792	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	2.08172753137	1.68011978299	1.54311033813	1.55474865976	1.81535783117	[]	[]	[]	[]
2	1	[]	[]	[]	[]	1.80345326057	1.55441789241	1.54347452559	1.691967723	2.06881093588	[]	[]	[]	[]
3	0	[]	[]	[]	2.07907562528	1.6751158117	1.53358801296	1.52367463821	1.52592437067	1.54822278753	1.81170630604	[]	[]	[]
3	1	[]	[]	[]	1.79973148237	1.54776249633	1.52584951482	1.52379554784	1.53410760189	1.6871077565	2.06631767207	[]	[]	[]
4	0	[]	[]	2.07660999958	1.67073806444	1.52686245791	1.51400964984	1.5109066261	1.5120222391	1.5182517092	1.54316730845	1.80884020228	[]	[]
4	1	[]	[]	1.79649038328	1.54230179966	1.51783390932	1.51191253043	1.51112644695	1.51456039002	1.52791067925	1.68331867673	2.06434010783	[]	[]
5	0	[]	2.07483947187	1.6644681058	1.51250273344	1.48977243356	1.47659634575	1.47125382846	1.47546322373	1.48686413162	1.50300954675	1.53560491227	1.80678321369	[]
5	1	[]	1.79314962069	1.53233527171	1.49913260066	1.48310448009	1.47379049681	1.47326544518	1.48134678899	1.49498787597	1.51704254402	1.67918149872	2.06360218264	[]
6	0	2.08543589689	1.68012568932	1.53136529073	1.51302473448	1.50445142802	1.3085224956	0.0	1.30744645909	1.5021921725	1.50896298213	1.52070876683	1.54943976442	1.81783458393
6	1	1.80643587724	1.54883506938	1.5195838688	1.50803154349	1.49432492397	0.805461192298	0.804881036775	1.49275729153	1.50517924166	1.51434663535	1.53244274385	1.69174885249	2.07219298435
7	0	[]	2.07495560929	1.66459418688	1.51254313204	1.48978973011	1.47660749644	1.47126181742	1.47547023721	1.48687400869	1.50302742534	1.53564551029	1.80690281781	[]
7	1	[]	1.79287320009	1.53200036212	1.49860698299	1.48230920138	1.47276960936	1.47224388447	1.4805496402	1.49445984498	1.51670726027	1.67891611663	2.06343065032	[]
8	0	[]	[]	2.07669799537	1.67083383088	1.52689170155	1.51402230028	1.51091542841	1.51203158707	1.51826601812	1.54319919018	1.80894317222	[]	[]
