[[ 0.04323886  0.01023473  0.02970799]]
[[ 0.05230719  0.00388021 -0.00397902]]
[[ 0.03357387  0.00829832  0.03218561]]
[[ 0.05612351 -0.00474042  0.00682038]]
[[ 0.00197744 -0.00988081  0.00242513]]
[[ 0.00743011  0.00783098 -0.00332954]]
[[ 0.00358677 -0.00083376 -0.00320549]]
[[-0.00112072 -0.0022595   0.01138638]]
[[ 0.01423446 -0.0077425   0.00302086]]
[[ 0.0177513   0.00791798  0.00765637]]
