b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
8	0	[]	[]	[]	5.3275853255	2.41489017205	2.79577408967	-5.83824276024	1.66282619476	2.41030691725	6.96515716971	[]	[]	[]
8	1	[]	[]	[]	3.3232413377	1.94202978192	2.5198879199	-1.30779479032	1.47056590601	2.03741223385	3.28868169487	[]	[]	[]
8	2	[]	[]	[]	2.57254666337	2.6770737257	0.673796264678	1.81329520186	2.5614002591	2.8906050085	2.63007506242	[]	[]	[]
8	3	[]	[]	[]	2.02482559442	2.62752663102	0.938525235551	1.67363778022	2.24721453709	2.8236191099	2.03799518262	[]	[]	[]
9	0	[]	[]	[]	[]	2.15583842327	2.59450157056	-3.75239825654	2.17413510342	2.24399923334	[]	[]	[]	[]
9	1	[]	[]	[]	[]	3.22484610897	2.11616217632	-1.12700412941	1.47327300807	3.20840425145	[]	[]	[]	[]
9	2	[]	[]	[]	[]	2.95877656096	1.06049591029	2.02198905809	2.40216320351	3.53857485868	[]	[]	[]	[]
9	3	[]	[]	[]	[]	2.81064503214	1.44970692075	1.33691286884	2.19330636233	4.02243343743	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	2.46695573174	0.879492222512	1.59625801186	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	2.91409045985	0.347184607373	3.510147389	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	0.88506288213	1.80294233991	2.22640132141	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	2.50037991557	1.77888631474	1.87334901895	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	-0.91490294412	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	3.53075525886	[]	[]	[]	[]	[]	[]
11	2	[]	[]	[]	[]	[]	[]	1.60003527904	[]	[]	[]	[]	[]	[]
11	3	[]	[]	[]	[]	[]	[]	1.93253567922	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
